1,Apple,Fruit,38 per week,21,24,Cedar Apple Rust,Loamy soil,Common granular 20-10-10,100 sq ft,"The apple is a pome (fleshy) fruit, in which the ripened ovary and surrounding tissue both become fleshy and edible. The apple flower of most varieties requires cross-pollinationfor fertilization. When harvested, apples are usually roundish, and some shade of red, green, or yellow in colour; they vary in size, shape, and acidity depending on the variety.",assets/images/plantOG/Fruit/Apple.png,assets/images/plantIcon/Fruit/Apple.png
2,Starfruit,Fruit,38 to 56 per week,20,35,Pests,Loamy soil,"manganese, iron, zinc, and magnesium",90 sq ft,"Star fruit, also known as carambola, is the fruit of the Averrhoa carambola tree. Although star fruit is most abundant in tropical areas, such as India, Malaysia and Indonesia, it is widely distributed around the world. Star fruit is dark green when it is unripe, but it turns glossy yellow as it ripens. Ripe star fruit is fleshy, crunchy, and juicy and has a sweet and slightly tart taste.",assets/images/plantOG/Fruit/Starfruit.jfi,assets/images/plantIcon/Fruit/Starfruit.png
3,Apricot,Fruit, 8 per week,0,8,Brown Rot,Loamy soil,Nitrogen,81 sq ft,"Apricot is the fruit from an apricot tree. The fruit and fruit juice are used as medicine. Apricot is used for asthma, constipation, infertility, vaginal infections, and other conditions, but there is no good scientific evidence to support these uses. In manufacturing, apricot oil is used in cosmetics.",assets/images/plantOG/Fruit/Apricot.png,assets/images/plantIcon/Fruit/Apricot.png
4,Avocado,Fruit,18 to 75 per week,16,26,Cankers,"Sandy soil, Loamy soil",Ammoniun nitrate,64 sq ft,"An avocado is a bright green fruit with a large pit and dark leathery skin. They’re also known as alligator pears or butter fruit. Avocados are a favorite of the produce section. Avocados are high in fat. But it's monounsaturated fat, which is a ""good"" fat that helps lower bad cholesterol, as long as you eat them in moderation.",assets/images/plantOG/Fruit/Avocado.jpg,assets/images/plantIcon/Fruit/Avocado.png
5,Banana,Fruit,60 per week,15,20,Anthracnose,Loamy soil ,"150-200g N, 40-60g P2O5 and 200-300g K2O",81 sq ft,"Banana is one of the most important fruit crops of the world. The banana is grown in the tropics, and, though it is most widely consumed in those regions, it is valued worldwide for its flavour, nutritional value, and availability throughout the year.They may also be used to flavour muffins, cakes, or breads.",assets/images/plantOG/Fruit/Banana.jpg,assets/images/plantIcon/Fruit/Banana.png
6,Blueberry,Fruit,30 to 45 per week,2,7,Bacterial Canker,Silty soil,Ammonium sulfate,64 sq ft,"Blueberry is a fruit commonly eaten as a food. Some people also use the fruit and leaves to make medicine. Blueberry is used for aging, memory and thinking skills. Blueberry fruit is high in fiber which could help normal digestive function. It also contains vitamin C and other antioxidants. Blueberry also contains chemicals that might reduce swelling and destroy cancer cells.",assets/images/plantOG/Fruit/Blueberry.jpg,assets/images/plantIcon/Fruit/Blueberry.png
7,Cherry,Fruit,200 per week,7,10,Black Knot,Sandy soil,Low nitrogen,144 sq ft,"The fruit is a fleshy drupe (stone fruit) that is generally heart-shaped to nearly globular, about 2 cm in diameter, and varies in colour from yellow through red to nearly black. The acid content of the sweet cherry is low. The higher acid content of the sour cherry produces its characteristic tart flavour.",assets/images/plantOG/Fruit/Cherry.jpg,assets/images/plantIcon/Fruit/Cherry.png
8,Custard Apple,Fruit,50 to 100 per week,18,30,"Insects, Mit Pests","Sandy soil, Loamy soil","250 g N, 125 g P2O5, and 125 g K2O",50 sq ft,"Custard apple is a sweet and fragrant fruit. When the fruit gets ripened, its colour turns brown or yellowish, with red borders.There have been immense proven benefits of eating custard apple in various dishes and desserts. The beneficial nutrients in custard apple help us to fight against various deadly diseases and even offers protection against some of them.",assets/images/plantOG/Fruit/Custard Apple.jpg,assets/images/plantIcon/Fruit/Custard Apple.png
9,Cantaloupe,Fruit,102 per week,15,18,Powdery Mildew,Loamy soil,Sulphur,6 sq ft,"The cantaloupe is a juicy, orange summer fruit that’s related to the watermelon and honeydew melon. Eating cantaloupes has a wide range of both immediate and potentially long-term health benefits. Being a strong source of fiber, B vitamins and electrolytes, and having a low glycemic load makes cantaloupe a great food for maintaining energy within cells and controlling blood glucose levels.",assets/images/plantOG/Fruit/Cantaloupe.jpg,assets/images/plantIcon/Fruit/Cantaloupe.png
10,Guava,Fruit,140 per week,4,9,Guava Wilt,Sandy soil,6-6-6-2 fertilizer,180 sq ft,"Guavas are tropical fruits with yellowish-green skin, and they grow on trees in Central America. People use guava leaf tea as a treatment for diarrhea in several countries, including India and China. In other countries, such as Mexico, people have traditionally used the flesh of the fruit to heal wounds.",assets/images/plantOG/Fruit/Guava.jpg,assets/images/plantIcon/Fruit/Guava.png
11,Dates,Fruit,50 to 60 per week,7,32,Bayoud Disease,"Sandy soil, Loamy soil",Manure,42 sq ft,"The date is the fruit of the date palm. It is a berry of golden yellow colour or reddish-brown when ripe. Its meat is soft, aromatic and sweet, with a stone inside it of elongate shape and with a longitudinal furrow. The optimal relative moisture of this fruit is between 70-75%. They have a great nutritional value that lies on its easily assimilated sugar content and proteins, calcium, phosphorus, iron and vitamins of the B and A group.",assets/images/plantOG/Fruit/Dates.jpg,assets/images/plantIcon/Fruit/Dates.png
12,Jamun,Fruit,40 per week,28,32,Anthracnose,Loamy soil,Rotten farm yard manure,120 sq ft,"Jamun fruits are small shapes with curved, blunt ends. The fruit’s skin is thin, smooth, glossy, and taut, appearing in several shades depending on maturity. Underneath the surface, the flesh ranges in color from pink to white and is aqueous and succulent, encasing a hard and rough, green-purple seed that should be discarded before consumption. Jamun fruits have a subtly sweet, tart, and sour flavor.",assets/images/plantOG/Fruit/Jamun.jpg,assets/images/plantIcon/Fruit/Jamun.jfif
13,Dragon Fruit,Fruit,80 per week,30,36,Anthracnose,Loamy soil,Bio basis 8-3-9,70 sq ft,"Dragon fruit is the fruit of a variety of cactus species. It has a unique appearance, sweet taste, and crunchy texture. The dragon fruit contains multiple antioxidants that are beneficial for good health. Dragon fruit also contains many vitamins and minerals that are important for a healthy body.",assets/images/PlantOG/Fruit/dragon fruit.jpg,assets/images/plantIcon/Fruit/Dragon Fruit.png
